x_value,total_1,total_2
0,1000,1000
1,1000,996
2,996,997
3,1000,998
4,1005,994
5,1010,991
6,1018,991
7,1023,996
8,1030,995
9,1026,995
10,1030,999
11,1028,997
12,1033,1002
13,1037,1006
14,1038,1010
15,1032,1007
16,1035,1012
17,1043,1014
18,1041,1016
19,1048,1015
20,1049,1021
21,1054,1017
22,1054,1012
23,1062,1009
24,1058,1004
25,1065,1007
26,1064,1002
27,1065,1006
28,1060,1002
29,1061,1002
30,1058,1002
31,1052,1008
32,1049,1010
33,1044,1014
34,1043,1012
35,1041,1007
36,1040,1002
37,1038,1007
38,1043,1006
39,1050,1009
40,1049,1014
41,1053,1019
42,1058,1022
43,1065,1025
44,1073,1024
45,1077,1019
46,1074,1019
47,1079,1019
48,1075,1019
49,1070,1020
50,1076,1018
51,1079,1018
52,1084,1018
53,1086,1014
54,1085,1012
55,1092,1008
56,1100,1009
57,1099,1004
58,1105,1007
59,1107,1010
60,1107,1011
61,1107,1009
62,1110,1007
63,1109,1008
64,1117,1007
65,1111,1012
66,1116,1017
67,1119,1016
68,1123,1018
69,1130,1024
70,1127,1027
71,1127,1025
72,1134,1027
73,1140,1031
74,1143,1026
75,1144,1025
76,1141,1020
77,1142,1017
78,1150,1014
79,1147,1013
80,1144,1009
81,1143,1006
82,1147,1008
